meta.code,th
"<div class=""k-dlg-title"">เปลี่ยนเทมเพลต</div>
          <div class=""k-hint"" style=""margin:8px 0"">ข้อมูลเดิมจะถูกรักษาไว้ เพิ่มเฉพาะช่องที่ขาดจากเทมเพลตใหม่</div>
          <select id=""tp-select"" class=""k-dlg-select"" style=""width:100%"">{0}</select>
          <div class=""k-dlg-btns""><button class=""k-cancel"">ยกเลิก</button><button class=""k-ok"">เปลี่ยนเทมเพลต</button></div>","<div class=""k-dlg-title"">เปลี่ยนเทมเพลต</div>
          <div class=""k-hint"" style=""margin:8px 0"">ข้อมูลเดิมจะถูกรักษาไว้ เพิ่มเฉพาะช่องที่ขาดจากเทมเพลตใหม่</div>
          <select id=""tp-select"" class=""k-dlg-select"" style=""width:100%"">{0}</select>
          <div class=""k-dlg-btns""><button class=""k-cancel"">ยกเลิก</button><button class=""k-ok"">เปลี่ยนเทมเพลต</button></div>"
"<div class=""k-dlg-title"">แผนที่อักขระพิเศษ</div>
    <div class=""k-charmap""></div>
    <div class=""k-dlg-btns""><button class=""k-ok"">{0}</button></div>","<div class=""k-dlg-title"">แผนที่อักขระพิเศษ</div>
    <div class=""k-charmap""></div>
    <div class=""k-dlg-btns""><button class=""k-ok"">{0}</button></div>"
"<div class=""k-dlg-title"">ลบ element ตามประเภท</div>
    <div class=""k-hint"" style=""margin-bottom:10px"">เลือกประเภท element ที่ต้องการลบทั้งหมดออกจากบท
      <br>(นับเฉพาะบรรทัดที่มีเนื้อหา — บรรทัดว่างไม่ถูกแตะ · ยกเลิกได้ด้วย Ctrl+Z)</div>
    <div id=""rm-el-list""></div>
    <div style=""margin-top:8px""><a href=""#"" id=""rm-el-all"">เลือกทั้งหมด</a> · <a href=""#"" id=""rm-el-none"">ไม่เลือก</a></div>
    <div class=""k-dlg-total dim"" style=""margin-top:8px""></div>
    <div class=""k-dlg-btns""><button class=""k-cancel"">{0}</button><button class=""k-ok k-danger"" disabled>ลบ</button></div>","<div class=""k-dlg-title"">ลบ element ตามประเภท</div>
    <div class=""k-hint"" style=""margin-bottom:10px"">เลือกประเภท element ที่ต้องการลบทั้งหมดออกจากบท
      <br>(นับเฉพาะบรรทัดที่มีเนื้อหา — บรรทัดว่างไม่ถูกแตะ · ยกเลิกได้ด้วย Ctrl+Z)</div>
    <div id=""rm-el-list""></div>
    <div style=""margin-top:8px""><a href=""#"" id=""rm-el-all"">เลือกทั้งหมด</a> · <a href=""#"" id=""rm-el-none"">ไม่เลือก</a></div>
    <div class=""k-dlg-total dim"" style=""margin-top:8px""></div>
    <div class=""k-dlg-btns""><button class=""k-cancel"">{0}</button><button class=""k-ok k-danger"" disabled>ลบ</button></div>"
"
      <div class=""k-dlg-title"">สร้าง{0}ใหม่</div>
      <div class=""k-row"" style=""flex-direction:column;align-items:stretch;gap:6px;margin:6px 0"">
        <label>ชื่อ</label><input type=""text"" class=""k-dlg-input"" id=""ent-name"" style=""width:100%"">
      </div>
      <div class=""k-row"" style=""flex-direction:column;align-items:stretch;gap:6px;margin:12px 0 2px"">
        <label>เทมเพลต</label>
        <select id=""ent-tpl"" class=""k-dlg-select"">{1}</select>
      </div>
      <div class=""k-dlg-btns""><button class=""k-cancel"">ยกเลิก</button><button class=""k-ok"">สร้าง</button></div>","
      <div class=""k-dlg-title"">สร้าง{0}ใหม่</div>
      <div class=""k-row"" style=""flex-direction:column;align-items:stretch;gap:6px;margin:6px 0"">
        <label>ชื่อ</label><input type=""text"" class=""k-dlg-input"" id=""ent-name"" style=""width:100%"">
      </div>
      <div class=""k-row"" style=""flex-direction:column;align-items:stretch;gap:6px;margin:12px 0 2px"">
        <label>เทมเพลต</label>
        <select id=""ent-tpl"" class=""k-dlg-select"">{1}</select>
      </div>
      <div class=""k-dlg-btns""><button class=""k-cancel"">ยกเลิก</button><button class=""k-ok"">สร้าง</button></div>"
"
    <div class=""planner-pop-title"">▦ กริด</div>
    <label class=""planner-pop-row""><input type=""checkbox"" id=""plg-show""{0}> แสดงกริด</label>
    <label class=""planner-pop-row""><input type=""checkbox"" id=""plg-snap""{1}> ดูดเข้าเส้นกริด (snap)</label>
    <div class=""planner-pop-row""><span>ขนาด</span>
      <input type=""number"" id=""plg-size"" min=""4"" max=""400"" step=""1"" value=""{2}""> px</div>
    <div class=""planner-pop-row""><span>รูปแบบ</span>
      <select id=""plg-style"">{3}</select></div>
    <div class=""planner-pop-row""><span>ความเข้ม</span>
      <input type=""range"" id=""plg-op"" min=""0"" max=""1"" step=""0.05"" value=""{4}""></div>
    <div class=""planner-pop-row""><span>สีเส้น</span><input type=""color"" id=""plg-color"" value=""{5}""></div>
    <div class=""planner-pop-row""><span>สีพื้น</span><input type=""color"" id=""plg-bg"" value=""{6}""></div>
    <div class=""planner-pop-row planner-pop-presets"">
      <button data-size=""10"">10</button><button data-size=""20"">20</button>
      <button data-size=""25"">25</button><button data-size=""50"">50</button><button data-size=""100"">100</button>
    </div>
  ","
    <div class=""planner-pop-title"">▦ กริด</div>
    <label class=""planner-pop-row""><input type=""checkbox"" id=""plg-show""{0}> แสดงกริด</label>
    <label class=""planner-pop-row""><input type=""checkbox"" id=""plg-snap""{1}> ดูดเข้าเส้นกริด (snap)</label>
    <div class=""planner-pop-row""><span>ขนาด</span>
      <input type=""number"" id=""plg-size"" min=""4"" max=""400"" step=""1"" value=""{2}""> px</div>
    <div class=""planner-pop-row""><span>รูปแบบ</span>
      <select id=""plg-style"">{3}</select></div>
    <div class=""planner-pop-row""><span>ความเข้ม</span>
      <input type=""range"" id=""plg-op"" min=""0"" max=""1"" step=""0.05"" value=""{4}""></div>
    <div class=""planner-pop-row""><span>สีเส้น</span><input type=""color"" id=""plg-color"" value=""{5}""></div>
    <div class=""planner-pop-row""><span>สีพื้น</span><input type=""color"" id=""plg-bg"" value=""{6}""></div>
    <div class=""planner-pop-row planner-pop-presets"">
      <button data-size=""10"">10</button><button data-size=""20"">20</button>
      <button data-size=""25"">25</button><button data-size=""50"">50</button><button data-size=""100"">100</button>
    </div>
  "
"<div class=""planner-prop-2col"">
      <input class=""planner-prop-input"" id=""plp-color"" type=""color"" value=""{0}"" title=""สีพื้น"">
      <input class=""planner-prop-input"" id=""plp-textcolor"" type=""color"" value=""{1}"" title=""สีตัวอักษร"">
    </div>","<div class=""planner-prop-2col"">
      <input class=""planner-prop-input"" id=""plp-color"" type=""color"" value=""{0}"" title=""สีพื้น"">
      <input class=""planner-prop-input"" id=""plp-textcolor"" type=""color"" value=""{1}"" title=""สีตัวอักษร"">
    </div>"
"<div class=""planner-props-empty"">คลิกการ์ดหรือเส้นเชื่อมเพื่อดูคุณสมบัติ<br><br>","<div class=""planner-props-empty"">คลิกการ์ดหรือเส้นเชื่อมเพื่อดูคุณสมบัติ<br><br>"
"<div class=""sec""><h2>ความสัมพันธ์</h2><ul class=""plain"">{0}</ul></div>","<div class=""sec""><h2>ความสัมพันธ์</h2><ul class=""plain"">{0}</ul></div>"
"<div class=""sec""><h2>ปรากฏในฉาก</h2><ul class=""plain"">{0}</ul></div>","<div class=""sec""><h2>ปรากฏในฉาก</h2><ul class=""plain"">{0}</ul></div>"
"<div style=""color:#e05555;padding:20px"">Planner เปิดไม่ได้: ","<div style=""color:#e05555;padding:20px"">Planner เปิดไม่ได้: "
"<!DOCTYPE html>
<html lang=""th"">
<head><meta charset=""UTF-8""><meta name=""viewport"" content=""width=device-width,initial-scale=1"">
<title>{0}</title>
<style>{1}
</style></head><body>
<h1>{2}</h1>
{3}<p style=""color:#999;font-size:12px;margin-top:40px"">ส่งออกจาก Killian 2</p>
</body></html>","<!DOCTYPE html>
<html lang=""th"">
<head><meta charset=""UTF-8""><meta name=""viewport"" content=""width=device-width,initial-scale=1"">
<title>{0}</title>
<style>{1}
</style></head><body>
<h1>{2}</h1>
{3}<p style=""color:#999;font-size:12px;margin-top:40px"">ส่งออกจาก Killian 2</p>
</body></html>"
"<!DOCTYPE html>
<html lang=""th""><head><meta charset=""UTF-8"">
<meta name=""viewport"" content=""width=device-width,initial-scale=1"">
<title>{0} — {1}</title>
<style>{2}</style></head>
<body>
<header class=""top""><h1><a href=""{3}"">{4}</a></h1>
<nav>{5}</nav></header>
<div class=""wrap"">{6}</div>
<footer>สร้างจาก Killian 2 · Codex</footer>
</body></html>","<!DOCTYPE html>
<html lang=""th""><head><meta charset=""UTF-8"">
<meta name=""viewport"" content=""width=device-width,initial-scale=1"">
<title>{0} — {1}</title>
<style>{2}</style></head>
<body>
<header class=""top""><h1><a href=""{3}"">{4}</a></h1>
<nav>{5}</nav></header>
<div class=""wrap"">{6}</div>
<footer>สร้างจาก Killian 2 · Codex</footer>
</body></html>"
"
    <input class=""planner-filter-input"" id=""pl-f-text"" placeholder=""🔍 กรอง — ชื่อ / สรุป / แท็ก"">
    <select class=""planner-filter-sel"" id=""pl-f-type"">
      <option value="""">ทุกประเภท</option>
      <option value=""scene"">📄 ฉาก</option>
      <option value=""chapter"">📁 บท</option>
      <option value=""entity"">👤 Wiki</option>
      <option value=""note"">📝 โน้ต</option>
      <option value=""sticky"">📌 โพสต์อิต</option>
      <option value=""text"">🅃 ข้อความ</option>
      <option value=""shape"">⬛ รูปทรง</option>
      <option value=""frame"">🖼 เฟรม</option>
      <option value=""comment"">💬 คอมเมนต์</option>
    </select>
    <select class=""planner-filter-sel"" id=""pl-f-status"">
      <option value="""">ทุกสถานะ</option>
      {0}
    </select>
    <button class=""planner-btn-small"" id=""pl-f-clear"">ล้าง</button>
  ","
    <input class=""planner-filter-input"" id=""pl-f-text"" placeholder=""🔍 กรอง — ชื่อ / สรุป / แท็ก"">
    <select class=""planner-filter-sel"" id=""pl-f-type"">
      <option value="""">ทุกประเภท</option>
      <option value=""scene"">📄 ฉาก</option>
      <option value=""chapter"">📁 บท</option>
      <option value=""entity"">👤 Wiki</option>
      <option value=""note"">📝 โน้ต</option>
      <option value=""sticky"">📌 โพสต์อิต</option>
      <option value=""text"">🅃 ข้อความ</option>
      <option value=""shape"">⬛ รูปทรง</option>
      <option value=""frame"">🖼 เฟรม</option>
      <option value=""comment"">💬 คอมเมนต์</option>
    </select>
    <select class=""planner-filter-sel"" id=""pl-f-status"">
      <option value="""">ทุกสถานะ</option>
      {0}
    </select>
    <button class=""planner-btn-small"" id=""pl-f-clear"">ล้าง</button>
  "
"<input class=""planner-prop-input"" id=""plpe-label"" value=""{0}"" placeholder=""เช่น ต่อเนื่อง / ย้อนอดีต"">","<input class=""planner-prop-input"" id=""plpe-label"" value=""{0}"" placeholder=""เช่น ต่อเนื่อง / ย้อนอดีต"">"
"<input class=""planner-prop-input"" id=""plp-file"" value=""{0}"" placeholder=""ยังไม่ได้ผูกไฟล์"">
     <div class=""planner-props-actions"" style=""margin-top:5px"">
       <button id=""plp-pick"">📁 เลือกจากโปรเจกต์</button>
       <button id=""plp-unlink"" title=""เอาลิงก์ออก"">✕</button>
     </div>","<input class=""planner-prop-input"" id=""plp-file"" value=""{0}"" placeholder=""ยังไม่ได้ผูกไฟล์"">
     <div class=""planner-props-actions"" style=""margin-top:5px"">
       <button id=""plp-pick"">📁 เลือกจากโปรเจกต์</button>
       <button id=""plp-unlink"" title=""เอาลิงก์ออก"">✕</button>
     </div>"
"<input class=""planner-prop-input"" id=""plp-tags"" value=""{0}"" placeholder=""คั่นด้วย ,"">","<input class=""planner-prop-input"" id=""plp-tags"" value=""{0}"" placeholder=""คั่นด้วย ,"">"
"<input class=""q"" id=""q"" placeholder=""ค้นหาในสารานุกรม… ({0} รายการ)"">
<div class=""grid"" id=""g"">{1}</div>
<script>
var q=document.getElementById('q'),g=document.getElementById('g');
q.addEventListener('input',function(){{var v=q.value.trim().toLowerCase();
[].forEach.call(g.children,function(c){{c.style.display=!v||c.dataset.n.indexOf(v)>=0?'':'none';}});}});
</script>","<input class=""q"" id=""q"" placeholder=""ค้นหาในสารานุกรม… ({0} รายการ)"">
<div class=""grid"" id=""g"">{1}</div>
<script>
var q=document.getElementById('q'),g=document.getElementById('g');
q.addEventListener('input',function(){{var v=q.value.trim().toLowerCase();
[].forEach.call(g.children,function(c){{c.style.display=!v||c.dataset.n.indexOf(v)>=0?'':'none';}});}});
</script>"
<label>จัดตำแหน่ง</label>,<label>จัดตำแหน่ง</label>
<label>เปลี่ยนสีทั้งหมด</label>,<label>เปลี่ยนสีทั้งหมด</label>
<label>ลักษณะเส้น</label>,<label>ลักษณะเส้น</label>
"<label class=""planner-check""><input type=""checkbox"" id=""plp-lock""{0}> 🔒 ล็อกไม่ให้ย้าย/แก้</label>","<label class=""planner-check""><input type=""checkbox"" id=""plp-lock""{0}> 🔒 ล็อกไม่ให้ย้าย/แก้</label>"
"<option value="""">— ไม่ใช้เทมเพลต —</option>","<option value="""">— ไม่ใช้เทมเพลต —</option>"
"<p class=""empty"">(ยังไม่มีคำอธิบาย)</p>","<p class=""empty"">(ยังไม่มีคำอธิบาย)</p>"
"<p class=""empty"">(ยังไม่มีรายการในหมวดนี้)</p>","<p class=""empty"">(ยังไม่มีรายการในหมวดนี้)</p>"
"
    <span class=""planner-board-name"" id=""pl-boardname"" title=""กระดานที่เปิดอยู่"">กระดานหลัก</span>
    <span class=""planner-dirty"" id=""pl-dirty"" title=""ยังไม่ได้บันทึก"">●</span>
    <span class=""planner-sep""></span>
    <button class=""planner-btn"" data-action=""new"" title=""กระดานใหม่"">✚ ใหม่</button>
    <button class=""planner-btn"" data-action=""open"" title=""เปิดกระดานอื่น"">📂 เปิด</button>
    <button class=""planner-btn k-ok"" data-action=""save"" title=""บันทึก (Ctrl+S)"">💾 บันทึก</button>
    <button class=""planner-btn"" data-action=""save-as"" title=""บันทึกเป็นไฟล์ใหม่"">💾… บันทึกเป็น</button>
    <span class=""planner-sep""></span>
    <button class=""planner-btn"" data-action=""undo"" title=""ย้อนกลับ (Ctrl+Z)"">↶</button>
    <button class=""planner-btn"" data-action=""redo"" title=""ทำซ้ำ (Ctrl+Shift+Z)"">↷</button>
    <span class=""planner-sep""></span>
    <button class=""planner-btn"" data-action=""group"" title=""จัดกลุ่ม (Ctrl+G)"">🗂 จัดกลุ่ม</button>
    <button class=""planner-btn"" data-action=""duplicate"" title=""ทำซ้ำ (Ctrl+D)"">⧉ ทำซ้ำ</button>
    <button class=""planner-btn"" data-action=""reveal"" title=""ชี้ตำแหน่งไฟล์ใน Explorer"">📂 ในเอกสาร</button>
    <button class=""planner-btn"" data-action=""delete"" title=""ลบ (Del)"">🗑 ลบ</button>
    <span class=""planner-sep""></span>
    <button class=""planner-btn"" data-action=""auto-layout"" title=""จัดเรียงอัตโนมัติ"">📐 จัดเรียง</button>
    <button class=""planner-btn"" data-action=""grid"" title=""ตั้งค่ากริด"">▦ กริด</button>
    <span class=""planner-sep""></span>
    <button class=""planner-btn"" data-action=""zoom-out"" title=""ซูมออก (Ctrl+-)"">➖</button>
    <button class=""planner-btn planner-zoom-label"" data-action=""zoom-reset"" title=""ซูม 100% (Ctrl+0)"" id=""pl-zoom"">100%</button>
    <button class=""planner-btn"" data-action=""zoom-in"" title=""ซูมเข้า (Ctrl+=)"">➕</button>
    <button class=""planner-btn"" data-action=""zoom-fit"" title=""พอดีจอ"">⊡ พอดีจอ</button>
    <span class=""planner-sep""></span>
    <button class=""planner-btn"" data-action=""export-png"" title=""ส่งออกเป็นรูป"">🖼 PNG</button>
    <button class=""planner-btn"" data-action=""sample"" title=""ใส่ตัวอย่าง"">🧪 ตัวอย่าง</button>
  ","
    <span class=""planner-board-name"" id=""pl-boardname"" title=""กระดานที่เปิดอยู่"">กระดานหลัก</span>
    <span class=""planner-dirty"" id=""pl-dirty"" title=""ยังไม่ได้บันทึก"">●</span>
    <span class=""planner-sep""></span>
    <button class=""planner-btn"" data-action=""new"" title=""กระดานใหม่"">✚ ใหม่</button>
    <button class=""planner-btn"" data-action=""open"" title=""เปิดกระดานอื่น"">📂 เปิด</button>
    <button class=""planner-btn k-ok"" data-action=""save"" title=""บันทึก (Ctrl+S)"">💾 บันทึก</button>
    <button class=""planner-btn"" data-action=""save-as"" title=""บันทึกเป็นไฟล์ใหม่"">💾… บันทึกเป็น</button>
    <span class=""planner-sep""></span>
    <button class=""planner-btn"" data-action=""undo"" title=""ย้อนกลับ (Ctrl+Z)"">↶</button>
    <button class=""planner-btn"" data-action=""redo"" title=""ทำซ้ำ (Ctrl+Shift+Z)"">↷</button>
    <span class=""planner-sep""></span>
    <button class=""planner-btn"" data-action=""group"" title=""จัดกลุ่ม (Ctrl+G)"">🗂 จัดกลุ่ม</button>
    <button class=""planner-btn"" data-action=""duplicate"" title=""ทำซ้ำ (Ctrl+D)"">⧉ ทำซ้ำ</button>
    <button class=""planner-btn"" data-action=""reveal"" title=""ชี้ตำแหน่งไฟล์ใน Explorer"">📂 ในเอกสาร</button>
    <button class=""planner-btn"" data-action=""delete"" title=""ลบ (Del)"">🗑 ลบ</button>
    <span class=""planner-sep""></span>
    <button class=""planner-btn"" data-action=""auto-layout"" title=""จัดเรียงอัตโนมัติ"">📐 จัดเรียง</button>
    <button class=""planner-btn"" data-action=""grid"" title=""ตั้งค่ากริด"">▦ กริด</button>
    <span class=""planner-sep""></span>
    <button class=""planner-btn"" data-action=""zoom-out"" title=""ซูมออก (Ctrl+-)"">➖</button>
    <button class=""planner-btn planner-zoom-label"" data-action=""zoom-reset"" title=""ซูม 100% (Ctrl+0)"" id=""pl-zoom"">100%</button>
    <button class=""planner-btn"" data-action=""zoom-in"" title=""ซูมเข้า (Ctrl+=)"">➕</button>
    <button class=""planner-btn"" data-action=""zoom-fit"" title=""พอดีจอ"">⊡ พอดีจอ</button>
    <span class=""planner-sep""></span>
    <button class=""planner-btn"" data-action=""export-png"" title=""ส่งออกเป็นรูป"">🖼 PNG</button>
    <button class=""planner-btn"" data-action=""sample"" title=""ใส่ตัวอย่าง"">🧪 ตัวอย่าง</button>
  "
"
    <span class=""planner-st-tool"" id=""pl-st-tool"">เลือก</span>
    <span class=""planner-st-xy"" id=""pl-st-xy"">x — · y —</span>
    <span class=""planner-st-grid"" id=""pl-st-grid""></span>
    <span class=""planner-count"" id=""pl-count""></span>
  ","
    <span class=""planner-st-tool"" id=""pl-st-tool"">เลือก</span>
    <span class=""planner-st-xy"" id=""pl-st-xy"">x — · y —</span>
    <span class=""planner-st-grid"" id=""pl-st-grid""></span>
    <span class=""planner-count"" id=""pl-count""></span>
  "
" <span style=""font-weight:normal;color:#666;font-size:0.8em"">
      ({0} เท่ากัน · <span style=""color:#070"">+{1}</span> · <span style=""color:#b00"">-{2}</span> · <span style=""color:#a90"">~{3}</span>)</span>"," <span style=""font-weight:normal;color:#666;font-size:0.8em"">
      ({0} เท่ากัน · <span style=""color:#070"">+{1}</span> · <span style=""color:#b00"">-{2}</span> · <span style=""color:#a90"">~{3}</span>)</span>"
"<span style=""opacity:.7"">เคล็ดลับ: ลากจากจุดสีส้มรอบการ์ดเพื่อเชื่อมเส้น · ดับเบิลคลิกเพื่อแก้ข้อความ</span></div>","<span style=""opacity:.7"">เคล็ดลับ: ลากจากจุดสีส้มรอบการ์ดเพื่อเชื่อมเส้น · ดับเบิลคลิกเพื่อแก้ข้อความ</span></div>"
≈ {0} ตัวอักษร/บรรทัด (โดยประมาณ),≈ {0} ตัวอักษร/บรรทัด (โดยประมาณ)
≈ {0} บรรทัด/หน้า · ,≈ {0} บรรทัด/หน้า · 
⊡ ผนึกกลับเข้าหน้าต่าง,⊡ ผนึกกลับเข้าหน้าต่าง
⊡ พอดีจอ,⊡ พอดีจอ
⌐ หักมุมฉาก,⌐ หักมุมฉาก
⌒ โค้ง,⌒ โค้ง
⌗ ปิด snap,⌗ ปิด snap
⌗ เปิด snap,⌗ เปิด snap
⏩ ล่วงหน้า (Flashforward),⏩ ล่วงหน้า (Flashforward)
⏪ ย้อนอดีต (Flashback),⏪ ย้อนอดีต (Flashback)
⏮ ไปหน้าแรก,⏮ ไปหน้าแรก
⏳ ยังไม่บันทึก,⏳ ยังไม่บันทึก
│ ขีด,│ ขีด
╱ ตรง,╱ ตรง
╱ เส้นตรง,╱ เส้นตรง
▢ มุมมน,▢ มุมมน
▤ กลับไปฟอร์ม,▤ กลับไปฟอร์ม
▦ การ์ด,▦ การ์ด
▦ จัดเรียงอัตโนมัติ,▦ จัดเรียงอัตโนมัติ
▦ ซ่อนกริด,▦ ซ่อนกริด
▦ แสดงกริด,▦ แสดงกริด
▭ สี่เหลี่ยม,▭ สี่เหลี่ยม
▲ เลื่อนขึ้น,▲ เลื่อนขึ้น
△ สามเหลี่ยม,△ สามเหลี่ยม
▶️ ทดลองเล่น,▶️ ทดลองเล่น
▶️ ทดลองเล่นเรื่องแตกสาย (Player Mode),▶️ ทดลองเล่นเรื่องแตกสาย (Player Mode)
▶ ประมวลผล,▶ ประมวลผล
▶ รัน (Ctrl+Enter),▶ รัน (Ctrl+Enter)
▶ สร้าง,▶ สร้าง
▶ สามเหลี่ยมทึบ,▶ สามเหลี่ยมทึบ
▸ คลี่แผง,▸ คลี่แผง
▼ เลื่อนลง,▼ เลื่อนลง
▾ พับแผง,▾ พับแผง
◆ ข้าวหลามตัด,◆ ข้าวหลามตัด
◇ ข้าวหลามตัด,◇ ข้าวหลามตัด
● วงกลม,● วงกลม
● สด,● สด
◨ ซ่อนแผงฝั่งซ้าย,◨ ซ่อนแผงฝั่งซ้าย
☁️ เมฆแท็ก,☁️ เมฆแท็ก
☆ ดาว,☆ ดาว
☆ เอาหมุดออก,☆ เอาหมุดออก
⚙ คุณสมบัติแผน…,⚙ คุณสมบัติแผน…
⚙ เทมเพลต (จัดการ),⚙ เทมเพลต (จัดการ)
⚙ system prompt ที่ส่งไปรอบนี้,⚙ system prompt ที่ส่งไปรอบนี้
⚠ ปลดล็อกเต็มที่ — AI ลบของได้เองโดยไม่ถาม,⚠ ปลดล็อกเต็มที่ — AI ลบของได้เองโดยไม่ถาม
⚠ เปิดรูปไม่ได้,⚠ เปิดรูปไม่ได้
⚠ มี {0} จุดที่เวลาตรงกัน (ไฮไลต์สีส้ม),⚠ มี {0} จุดที่เวลาตรงกัน (ไฮไลต์สีส้ม)
⚠ มี {0} จุดที่เหตุการณ์เวลาตรงกัน (ไฮไลต์สีส้ม) — ตรวจว่าตั้งใจหรือไม่,⚠ มี {0} จุดที่เหตุการณ์เวลาตรงกัน (ไฮไลต์สีส้ม) — ตรวจว่าตั้งใจหรือไม่
"
⚠ มี {0} ใบที่ยังถูกใช้ในต้นฉบับ","
⚠ มี {0} ใบที่ยังถูกใช้ในต้นฉบับ"
⚠ มี {0} รอบที่เรียก AI ไม่สำเร็จ,⚠ มี {0} รอบที่เรียก AI ไม่สำเร็จ
"
⚠ มี {0} รูปที่ถูกใช้ในต้นฉบับอยู่","
⚠ มี {0} รูปที่ถูกใช้ในต้นฉบับอยู่"
 ⚠ ลบของ, ⚠ ลบของ
"⚠ AI ขอลบของในโปรเจกต์:

","⚠ AI ขอลบของในโปรเจกต์:

"
⚡ กำลังลงมือทำ ,⚡ กำลังลงมือทำ 
⚡ คำสั่งที่ลงมือทำ (,⚡ คำสั่งที่ลงมือทำ (
⚡ ลงมือทำ {0} คำสั่ง — สำเร็จ {1}/{2},⚡ ลงมือทำ {0} คำสั่ง — สำเร็จ {1}/{2}
⛁ ทรงกระบอก,⛁ ทรงกระบอก
✅ เคลียร์หมดแล้ว (ทำไปแล้ว {0} รายการ),✅ เคลียร์หมดแล้ว (ทำไปแล้ว {0} รายการ)
✅ ตรวจแล้ว ▾,✅ ตรวจแล้ว ▾
✅ ทุกอย่างเป็นปัจจุบัน,✅ ทุกอย่างเป็นปัจจุบัน
✅ บันทึก Credential แล้ว (คีย์เก็บแยกที่ ,✅ บันทึก Credential แล้ว (คีย์เก็บแยกที่ 
✅ ไม่พบข้อผิดพลาด,✅ ไม่พบข้อผิดพลาด
✅ ไม่พบข้อผิดพลาดในบทนี้,✅ ไม่พบข้อผิดพลาดในบทนี้
✅ AI: เชื่อมต่อสำเร็จ,✅ AI: เชื่อมต่อสำเร็จ
"✍️ ช่วยเขียน — สร้าง/แก้ เล่ม บท ฉาก เอนทิตี้ ได้จริง (ลบไม่ได้)
","✍️ ช่วยเขียน — สร้าง/แก้ เล่ม บท ฉาก เอนทิตี้ ได้จริง (ลบไม่ได้)
"
✎ แก้ไข,✎ แก้ไข
✎ แก้ไขผู้ให้บริการ,✎ แก้ไขผู้ให้บริการ
✎ ต่อจุด,✎ ต่อจุด
✎ เปลี่ยนชื่อ,✎ เปลี่ยนชื่อ
✎ เปลี่ยนชื่อ…,✎ เปลี่ยนชื่อ…
✎ เปลี่ยนชื่อบท…,✎ เปลี่ยนชื่อบท…
✎ เปลี่ยนชื่อเล่ม…,✎ เปลี่ยนชื่อเล่ม…
✏️ แก้ข้อความ,✏️ แก้ข้อความ
✏️ แก้คำบรรยาย…,✏️ แก้คำบรรยาย…
✏️ ตั้งชื่อใหม่,✏️ ตั้งชื่อใหม่
✏️ เปลี่ยนชื่อ…,✏️ เปลี่ยนชื่อ…
✏️ เปลี่ยนชื่อกลุ่ม…,✏️ เปลี่ยนชื่อกลุ่ม…
✏️ เปลี่ยนชื่อแท็กนี้ทั้งคลัง,✏️ เปลี่ยนชื่อแท็กนี้ทั้งคลัง
✔ บันทึก,✔ บันทึก
✔ เสร็จ,✔ เสร็จ
✕ ปิด,✕ ปิด
✕ ปิดแผง (เปิดกลับที่ มุมมอง → แผง),✕ ปิดแผง (เปิดกลับที่ มุมมอง → แผง)
✕ ล้างตัวกรองแท็ก,✕ ล้างตัวกรองแท็ก
✕ เอาปกออก,✕ เอาปกออก
✕ เอาออกจากกระดาน (ไม่ลบไฟล์),✕ เอาออกจากกระดาน (ไม่ลบไฟล์)
✖ ยกเลิกการปัก,✖ ยกเลิกการปัก
✖ ยกเลิกการเลือก,✖ ยกเลิกการเลือก
✚ จำ,✚ จำ
✨ กำลังให้ AI เขียน,✨ กำลังให้ AI เขียน
✨ เติม,✨ เติม
✨ แนะนำชื่อ{0},✨ แนะนำชื่อ{0}
"✨ แนะนำชื่อ{0} — ""{1}""","✨ แนะนำชื่อ{0} — ""{1}"""
✨ แนะนำชื่อฉากด้วย AI…,✨ แนะนำชื่อฉากด้วย AI…
✨ แนะนำชื่อบทด้วย AI…,✨ แนะนำชื่อบทด้วย AI…
❌ เชื่อมต่อ AI ไม่ได้: ,❌ เชื่อมต่อ AI ไม่ได้: 
❌ ยังไม่ได้ตั้งค่าผู้ให้บริการ AI — ไฟล์ → ตั้งค่า AI,❌ ยังไม่ได้ตั้งค่าผู้ให้บริการ AI — ไฟล์ → ตั้งค่า AI
❌ ยังไม่ได้ตั้งค่า AI — ไฟล์ → ตั้งค่า AI,❌ ยังไม่ได้ตั้งค่า AI — ไฟล์ → ตั้งค่า AI
❌ AI: ทดสอบล้มเหลว,❌ AI: ทดสอบล้มเหลว
❌ AI: ยังไม่ได้เลือกผู้ให้บริการ (ไฟล์ → ตั้งค่า AI),❌ AI: ยังไม่ได้เลือกผู้ให้บริการ (ไฟล์ → ตั้งค่า AI)
❔ นี่คืออะไร — <b>,❔ นี่คืออะไร — <b>
➕ เซสชันแชทใหม่,➕ เซสชันแชทใหม่
➕ เซสชันใหม่,➕ เซสชันใหม่
➕ บันทึก,➕ บันทึก
➕ เพิ่ม,➕ เพิ่ม
➕ เพิ่มข้อความ,➕ เพิ่มข้อความ
➕ เพิ่มผู้ให้บริการ,➕ เพิ่มผู้ให้บริการ
➕ เพิ่มหน้า,➕ เพิ่มหน้า
➕ สร้างหมวดใหม่,➕ สร้างหมวดใหม่
➜ ลูกศร,➜ ลูกศร
➤ ลูกศร,➤ ลูกศร
⟳ ดึงรายชื่อโมเดล,⟳ ดึงรายชื่อโมเดล
⤒ บน,⤒ บน
