meta.code,en
ui.branch.insertFileDoneScene,Inserted into the file — the open scene is still unsaved; save over it if you don't want this
ui.branch.insertScene,Insert into scene
ui.branch.insertSceneDone,Inserted at the end of the scene
ui.branch.inspector,Scene choices
ui.branch.items,items
ui.branch.jSONStructureInTool,JSON (structure only — for other tools)
ui.branch.labelClick,click to open the source scene
ui.branch.lineColor,Line colour for this choice
ui.branch.lineColorClear,Line colour cleared
ui.branch.lineColorSet,Line colour changed
ui.branch.listDefineToGraph, items — set their targets in the branching chart
ui.branch.loopBack,loops back
ui.branch.markdownOutlineListPara,Markdown outline (indented list)
ui.branch.merge,Merge
ui.branch.mergeAsk,Merge duplicate choices
ui.branch.mergeChoiceDup,Merge duplicate choices
ui.branch.mergeChoiceDupDone,Duplicate choices merged
ui.branch.mergedDone,Merged duplicate choices
ui.branch.mergeDupHint,Merge duplicate choices
ui.branch.mergeNote,Same text going to different scenes is a real branch and will be kept
ui.branch.mergeOk,Merge
ui.branch.moveCardDonePress,Card moved — press ⟲ to re-arrange the chart automatically
ui.branch.moveChoice,Move choice
ui.branch.moved,Card moved — press ⟲ to auto-arrange again
ui.branch.movedChoice,Moved choice
ui.branch.msg,From
ui.branch.msg2,To: 
ui.branch.needFromText,Pick a scene and type the choice text first
ui.branch.needScene,"Open a scene first, then type choices in square brackets, e.g. [go to market]"
ui.branch.needTreeView,Switch to Map view first to export an image
ui.branch.newChoiceNewReady,Create a new choice and insert [text] at the end of the scene too
ui.branch.newNewPlanStartLayout,Create a new plan (starting from a blank layout)
ui.branch.noChoice,This scene has no choices — it is one of the endings
ui.branch.nodeHelp,Click = select · Drag = move · Double-click = open scene
ui.branch.noDup,No duplicate choices to merge
ui.branch.noFile,This scene has no file yet
ui.branch.noMarker,No choices found in this scene — type [text] where the story branches
ui.branch.noMatch,no match
ui.branch.noTarget,This choice has no target yet
ui.branch.notDefineColor,No colour
ui.branch.notFoundChoiceScene,No choices found in this scene — type [text] where the story branches
ui.branch.notHasChoiceDup,No duplicate choices to merge
ui.branch.notHasSceneGraph,No scenes on the chart yet — add a choice to a scene first
ui.branch.notHasSceneHas,"No scenes with choices yet — add one with the ""Add choice"" bar above and the chart appears right away"
ui.branch.notSpecify,— Not set —
ui.branch.notUsePlanRemember,— No plan (this device) —
ui.branch.openBranchToFix,open the Branching Map to fix
ui.branch.openEnd,no target yet
ui.branch.openEndDash,— not set —
ui.branch.openEndParen,(no target yet)
ui.branch.openGraphBreakBranch,Open the branching chart to edit
ui.branch.openModeTrialPlay,Open play-test mode starting at this scene
ui.branch.openPairGraph,Open alongside the chart
ui.branch.openPlanBeforeDone,"Open a plan first, then choose the plan to compare with"
ui.branch.openPlanF,"Opened plan ""{0}"""
ui.branch.openPlanNotOk,Could not open the plan
ui.branch.openScene,Open scene
ui.branch.openScene2,Open scene
ui.branch.openSceneAreaWriteSee,Open the scene in the writing area while keeping the chart in a side panel
ui.branch.openSceneBeforeDonePrint,"Open a scene first, then type choices in square brackets, e.g. [Go to the market]"
ui.branch.openSplit,Open beside map
ui.branch.openSplitHint,Open the scene in the writing area while keeping the map panel visible
ui.branch.openViewGraphBefore,Open the chart view first to export an image
ui.branch.pastChoices,Chosen here before
ui.branch.pathFromStart,Path from the start to here
ui.branch.paths,paths
ui.branch.pathsFrom,Paths from this scene
ui.branch.pathTrunc,The story branches into more than
ui.branch.pathTruncHint,showing as many as could be walked
ui.branch.pickNode,Click a scene card on the map to view/edit its choices
ui.branch.pickNodeEmpty,No scenes on the map yet — add a choice to a scene first
ui.branch.pickScene,Previously chosen at this scene
ui.branch.pickScenePutText,Choose a scene and enter the choice text first
ui.branch.plan,Plan
ui.branch.planGraphOneProject,Plans for this chart — a project can have several (card positions/colours/views are separate per plan)
ui.branch.plannedNewPlanBefore,There is only one plan — create another plan to compare
ui.branch.play,Play from here
ui.branch.playFrom,Play from here
ui.branch.playFromHint,Open play-test mode starting at this scene
ui.branch.playHint,Play test — read the story and click through the choices
ui.branch.pngFail,PNG export failed: 
ui.branch.pNGImageGraphSend,PNG (chart image — for chats/slides)
ui.branch.pngSaved,Map image saved to the gallery: 
ui.branch.printOnlySceneAt,Type to highlight only the matching scenes — the rest fade out
ui.branch.printTextSceneAt,"Type [text] in the scene where the story branches, e.g. [Go to the market], then press Link here"
ui.branch.propsPlan,Plan properties — 
ui.branch.propsPlanStatusDraft,Plan properties — status (draft/live/backup) · colour · tags · book · notes
ui.branch.reading,Reading scene…
ui.branch.readScenesJsonNew,Reread scenes.json
ui.branch.recolorCardDone,Card colour changed
ui.branch.recolorLineDone,Line colour changed
ui.branch.relayout,Auto-arrange again (forget cards you moved)
ui.branch.relayoutDone,Map re-arranged
ui.branch.reload,Re-read scenes.json
ui.branch.roleEnd,Ending
ui.branch.roleEndFull,Ending (no choices out)
ui.branch.roleLoop,inside a loop
ui.branch.roleLoopShort,loop
ui.branch.roleLost,unreachable from any start
ui.branch.roleLostShort,unreachable
ui.branch.roleRoot,Start
ui.branch.route,Possible routes
ui.branch.routeDotStart,Routes from the start to here
ui.branch.routeScene,Routes from this scene
ui.branch.saveImageGraphLibrary,Saved the chart image to the image library: 
ui.branch.saveMapOpen,Save the open plan
ui.branch.saveNewPlanCoverLayout,Save as a new plan (copy the current layout into another plan)
ui.branch.savePlan2F,"Saved plan ""{0}"""
ui.branch.savePlanF,"Saved as plan ""{0}"""
ui.branch.savePropsPlanDone,Plan properties saved
ui.branch.scanAllSceneFind,Scan every scene for unlinked [text] choices
ui.branch.scanAsk,Link them all as choices (targets left blank for now)?
ui.branch.scanClean,Scan complete — every [text] marker is already linked to a choice
ui.branch.scanCompleteDoneAll,Scan complete — every [text] in the scenes is linked as a choice
ui.branch.scanDone,Linked choices from text:
ui.branch.scanFound,Found unlinked choice markers:
ui.branch.scanHint,Scan every scene for unlinked [choice] markers
ui.branch.scanOk,Link all
ui.branch.sceneDup,Scene is inside a loop
ui.branch.sceneNotHasChoice,This scene has no choices yet — it ends a branch
ui.branch.sceneNotHasText,This scene has no [text] choices in the story yet
ui.branch.sceneNotTo,Unreachable scene
ui.branch.sceneToDelMove,"The target scene was deleted or moved — choose the source scene to set a new target, or delete the choice"
ui.branch.searchNameSceneChoice,Search scene names / choices / tags
ui.branch.seeAll,See all
ui.branch.show,Showing as many as can be traced
ui.branch.show2,Showing only
ui.branch.showPanelChoice,Show the choices panel
ui.branch.showSide,Show choices panel
ui.branch.splitDone,Split: map on the left · scene on the right
ui.branch.splitScreenDoneGraph,Split screen: chart on the left · scene on the right
ui.branch.spots,spots
ui.branch.steps,scenes
ui.branch.storyBreakBranchMore,The story branches into more than
ui.branch.sumChoices,choices
ui.branch.sumEndings,endings
ui.branch.sumRoots,starts
ui.branch.sumScenes,scenes
ui.branch.sVGImageGraphStyle,SVG (vector chart image)
ui.branch.targetChanged,Target changed
ui.branch.textChoice,Choice text
ui.branch.textChoiceEgOpen,"Choice text, e.g. ""Open the door"""
ui.branch.textEdited,Choice text updated
ui.branch.textPersonSceneNot,The same text leading to different scenes is not merged
ui.branch.title,Branching Map
ui.branch.titleFull,Branching Map (Non-linear)
ui.branch.trialPlayReadStory,Play-test — read the story and keep choosing paths
ui.branch.truncWarn,Showing only
ui.branch.truncWarnTail,"there are more — press ""See all"""
ui.branch.twoPlanNotHas,Neither plan has any choices yet
ui.branch.usePlanBackRemember,Stop using the plan — go back to positions remembered on this machine
ui.branch.viewAll,View all
ui.branch.viewList,List
ui.branch.viewList2,List view
ui.branch.viewTree,Map
ui.branch.walkChoice,Walk this choice (saved to the decision history)
ui.branch.warnBroken,choices pointing to deleted scenes
ui.branch.warnLoop,scenes inside a loop
ui.branch.warnLost,unreachable scenes
ui.branch.warnOpen,choices with no target
ui.branch.zoomFit,Fit to screen
ui.branch.zoomIn,Zoom in
ui.branch.zoomOut,Zoom out
ui.central.allCurrent,Everything is up to date
ui.central.backlinksSceneToWiki,Backlinks (scenes that reference this Wiki page)
ui.central.busyNewIndexLink,Building the link index…
ui.central.cantWrite,You haven't written today yet!
ui.central.centralizeNewIndexNot,centralize: failed to build the index
ui.central.fresh,● Fresh
ui.central.mentionTimesClickOpenScene,Mentioned {0} {0|time|times} — click to open the scene
ui.central.newIndexNotOk,"Failed to build the index — press ""Rebuild index"""
ui.central.notHasBacklinksPrint,No backlinks yet — type a character/location name in a scene for it to appear here
ui.central.notMention,Not mentioned anywhere yet
ui.central.scene, ← {0} {0|scene|scenes}: 
ui.central.sceneCantSetStatus,{0} {0|scene|scenes} have no status yet
ui.central.stats,Statistics
ui.central.thingMustUpdate,Needs updating
ui.chapters.addChapter,+ Add chapter
ui.chapters.coverClear,Remove cover image
ui.chapters.coverHint,Tick Use chapter cover and the cover counts as a real page both when reading the whole book and when numbering pages
ui.chapters.coverOffDone,Chapter cover off
ui.chapters.coverOnDone,Chapter cover on — counts as one page
ui.chapters.coverPick,Choose cover
ui.chapters.coverSetDone,Chapter cover set
ui.chapters.coverTextPh,Text on the chapter cover (instead of or alongside the image)
ui.chapters.empty,This book has no chapters yet
ui.chapters.fullOffDone,Chapter cover is back to illustration plus title
ui.chapters.fullOnDone,Chapter cover now uses a full-page image
ui.chapters.noBook,No books in this project yet
ui.chapters.noDraft,This book has no draft yet
ui.chapters.open,Open
ui.chapters.props,Properties
ui.chapters.renameDone,Chapter renamed
ui.chapters.renumber,Renumber chapters
ui.chapters.sceneWord,{0} {0|scene|scenes} · {1} {1|word|words}
ui.chapters.sizeHint,"Recommended cover image {0} × {1} px ({2} dpi) · ratio {3} : 1 — the full paper sheet of the selected book size ({4} × {5} in), because a cover with Use full-page image bleeds to the paper edge (anything past the ratio is cropped)"
ui.chapters.title,Chapter Manager
ui.chapters.useCover,Use chapter cover
ui.chapters.useFull,Use full-page image
ui.chapters.useFullHint,The image fills the whole printable area with no title on top — turn off for an illustration plus the chapter title
ui.characters,characters
ui.cmt.added,Comment added
ui.cmt.addFail,Could not add the comment
ui.cmt.anchorHint,New comments are anchored to the selected text
ui.cmt.anchorLost,(anchor text was removed) 
ui.cmt.anchorLostHint,The text this comment was anchored to is gone
ui.cmt.anchorMissing,Could not find the anchored text (it may have been edited or deleted)
ui.cmt.anchorOkHint,Hover to highlight in the scene · click to scroll to it
ui.cmt.cancel,Cancel
ui.cmt.delete,Delete comment
ui.cmt.deleteConfirm,Delete this comment (and every reply) ?
ui.cmt.deleted,Comment deleted
ui.cmt.deleteHint,Delete this comment (with its replies)
ui.cmt.edit,Edit text
ui.cmt.edited, (edited)
ui.cmt.editedDone,Comment updated
ui.cmt.emptyAll,(No comments in this scene yet)
ui.cmt.emptyOpen,(No open comments)
ui.cmt.filterAll,All
ui.cmt.filterHint,Toggle resolved comments
ui.cmt.filterOpen,Open only
ui.cmt.needScene,(Open a scene to add comments)
ui.cmt.placeholder,Write a comment…
ui.cmt.placeholderSel,Comment on the selected text…
ui.cmt.readFail,(Could not read comments)
ui.cmt.readFailLog,Could not read comments
ui.cmt.reopen,Reopen this thread
ui.cmt.reopened,Comment reopened
ui.cmt.replied,Reply added
ui.cmt.reply,Reply
ui.cmt.replyPlaceholder,Reply…
ui.cmt.resolve,Resolve this thread
ui.cmt.resolved,Comment resolved
ui.cmtComment.add,Add
ui.cmtComment.bind,Linked to: “
ui.cmtComment.insertShortcode,Insert shortcode (resolved immediately)
ui.cmtComment.listNotClose,{0} {0|item|items} · {1} still open
ui.cmtComment.moveCommentPrevScenes,Moved {0} existing {0|comment|comments} from scenes.json → .md
ui.cmtComment.reply,Reply
ui.cmtComment.replyBack,{0} {0|reply|replies}
ui.cmtComment.scrollToAnchorPickRangeCant,scrollToAnchor: cannot select the range
ui.cmtComment.selectionAnchorReadFileCant,selectionAnchor: cannot read the file
ui.codex.allCat,All categories
ui.codex.busyNewWebCodex,Building the encyclopedia website…
ui.codex.busyRead,Reading entities…
ui.codex.codexExportNotOk,codex: export failed
ui.codex.codexExportWebF,codex: exported website {0} {0|page|pages} → {1}
ui.codex.codexReadIndexMention,codex: cannot read the mentions index
ui.codex.exportNotOk,Export failed: 
ui.codex.exportWeb,Export as website
ui.codex.exportWebCodexDone,"Exported the encyclopedia website, {0} {0|page|pages} → {1}"
ui.codex.newWebCodexStyle,"Build a Fandom/Wikia-style encyclopedia website (works offline, no internet needed)"
ui.codex.notFoundListAt,(no entries match the search)
ui.codex.notHasDesc,(no description yet)
ui.codex.notHasExport,No entities to export yet
ui.codex.notHasWikiNew,(no entities in the Wiki yet — create them from the project panel)
ui.codex.openPageWiki,Open Wiki page
ui.codex.openPageWikiNot,Could not open the Wiki page
ui.codex.openProjectBeforeHas,Open a project first to get an encyclopedia
ui.codex.searchCodexList,Search the encyclopedia… ({0} {0|entry|entries})
ui.codexBuild.appearScene2,Appears in scenes
ui.codexBuild.item,Related to
ui.codexBuild.knownName2,Also known as: {0}
ui.codexBuild.list2,{1} {1|entry|entries}
ui.codexBuild.newKillianCodex2,Made with Killian 2 · Codex
ui.codexBuild.notHasListCat2,(no entries in this category yet)
ui.codexBuild.searchCodexList,Search the encyclopedia… ({0} {0|entry|entries})
ui.color.blue,Blue
ui.color.brown,Brown
ui.color.clear,Clear colour
ui.color.gold,Gold
ui.color.gray,Grey
ui.color.green,Green
ui.color.hlBlue,Blue
ui.color.hlGray,Grey
ui.color.hlGreen,Green
ui.color.hlOrange,Orange
ui.color.hlPink,Pink
ui.color.hlPresets,Highlight presets
ui.color.hlPurple,Purple
ui.color.hlYellow,Yellow
ui.color.ink,Ink black
ui.color.none,None yet
ui.color.orange,Orange
ui.color.pink,Pink
ui.color.presets,Presets
ui.color.proseOnly,Text colour works in novel mode only
ui.color.purple,Purple
ui.color.recent,Recently used
ui.color.red,Red
ui.color.save,Save colour
ui.color.saved,Saved
ui.color.saveHint,Add or remove this colour from your saved set
ui.color.use,Use
ui.color.wheel,Pick a colour
ui.common.actEnd,Ending
ui.common.action,Action
ui.common.add,+ Add
ui.common.aIAnalyze,AI analysis
ui.common.aIAssistantWrite,AI writing assistant
ui.common.aiReadAiKey,ai: cannot read ai-key.json
ui.common.alignLeft,Align left
ui.common.all,All
ui.common.arrangePage,Layout
ui.common.arrangePageSeePage,Layout — see the real page (Layout)
ui.common.author,Author
ui.common.avgScene,Avg./scene
ui.common.back,Loops back
ui.common.board,Board
ui.common.board2,Board 
ui.common.boardMain,Main board
ui.common.boardMood,Mood board
ui.common.body,Content
ui.common.book,Book
ui.common.bookNotHasChapter,This book has no chapters yet
ui.common.bookOne,Book One
ui.common.busyEdit,Editing
ui.common.busySearch,Searching…
ui.common.busyWrite,Writing
ui.common.cancel,Cancel
ui.common.cantOpenProject,No project open yet
ui.common.cantPutBaseURL,No Base URL entered yet
ui.common.cantSettingsAIClient,The AI client is not set up
ui.common.center,Center
ui.common.changeNameBook,Rename book…
ui.common.chapter,Chapter
ui.common.chapter2,Chapter: 
ui.common.chapterFilm,Screenplay
ui.common.chapterN,Chapter {{n}}
ui.common.chapterOne,01 - Chapter One
ui.common.chapterOne2,Chapter One
ui.common.character,Character
ui.common.choice,Choice
ui.common.clear,Clear
ui.common.clear2,Clear
ui.common.close,Close
ui.common.collapse,Collapse
ui.common.color,Colour
ui.common.comment,Comment
ui.common.conflict,Conflict
ui.common.conflict2,Conflict: 
ui.common.copy,Copy
ui.common.copyAll,Copy all
ui.common.copyNotOk,Copy failed
ui.common.copyText,Copy as text
ui.common.cornerScene,Right-angled
ui.common.curve,Curved
ui.common.dashboard,Dashboard
ui.common.date,Date
ui.common.del,Delete
ui.common.del2,Delete
ui.common.delBookBook,Delete the whole book
ui.common.delMap,Delete map “{0}”?
ui.common.delMoveTrash,Delete (move to the trash)
ui.common.desc,Description
ui.common.detailed,Detailed
ui.common.dialogue,Dialogue
ui.common.dot,Dotted
ui.common.dotStart,Start
ui.common.draftTextDraft,Draft — plain text (Draft)
ui.common.dup,⧉ Duplicate
ui.common.edit,Edit
ui.common.empty,(empty)
ui.common.error,Error: 
ui.common.export,Export
ui.common.export2,Export…
ui.common.exportDone,Exported: 
ui.common.exportMd,Export .md
ui.common.exportOnlyImageUse,Export only images that are actually used…
ui.common.exportPDF,Export PDF: 
ui.common.exportPNG,Export PNG
ui.common.exportPNGNotOk,PNG export failed: 
ui.common.fail,Failed
ui.common.findImageDupLibrary,Find duplicate images in the library
ui.common.fitScreen,Fit to screen
ui.common.fixBtn,Fix
ui.common.flashback,Flashback
ui.common.font,Font
ui.common.formatAnswerJSONArray,Answer format (JSON array only):
ui.common.frame,Frame
ui.common.goal,Goal
ui.common.graphArea,Floor plan
ui.common.graphBreakBranch,Branching chart
ui.common.graphBreakBranch2,Branching chart
ui.common.hasBoardNameProject,"A board named ""{0}"" already exists in the project"
ui.common.history,History
ui.common.historyRun,Activity history
ui.common.howSpeak,Manner of speech/idiom
ui.common.image,Image
ui.common.importBtn,Import
ui.common.insertPage,Insert page
ui.common.insertSceneOpen,Insert into the open scene
ui.common.journal,Journal
ui.common.jSONNotValid,Invalid JSON: 
ui.common.killian,About Killian 2
ui.common.left,Left
ui.common.legend,Lore
ui.common.legend2,Lore/knowledge
ui.common.libraryImage,Image library
ui.common.line,Lines
ui.common.lineTime,Timeline
ui.common.list2,List
ui.common.manageBook,Manage books
ui.common.map,Map
ui.common.map2,Map 
ui.common.map3,Maps
ui.common.mapNew,New map
ui.common.min,min
ui.common.model,Model
ui.common.mood,Mood
ui.common.movePos,Move
ui.common.msg, (copy)
ui.common.msg2, copy
ui.common.msg3,OK
ui.common.msg4,General
ui.common.msg5,Dashed
ui.common.msg6,Note
ui.common.msg7,Entities
ui.common.msg8,Thai
ui.common.name,Name
ui.common.nameBoardNew,New board name
ui.common.nameFile,File name
ui.common.nameGroup,Group name
ui.common.nameMap,Map name
ui.common.nameNewPlan,New plan name
ui.common.namePlan,Plan name
ui.common.new,Create
ui.common.new2,New
ui.common.newAlbumNew,New album…
ui.common.newBoardF,"Created board ""{0}"""
ui.common.newBoardF2,"Created board ""{0}"""
ui.common.newBoardNew,Create a new board
ui.common.newPlan,New plan
ui.common.normalPagePaper,Normal (paper page)
ui.common.note,Note
ui.common.notebookNoteQuick,Quick notes
ui.common.notFound,Not found
ui.common.notFoundFileScene,Scene file not found
ui.common.notHas,— None —
ui.common.notHasSceneHas,No scenes with choices yet
ui.common.notNamed,(untitled)
ui.common.notNamed2,Untitled
ui.common.notSet,— Not set —
ui.common.notSpecify,(not specified)
ui.common.notSpecify2,— Not specified —
ui.common.notSpecifyCat,(no category)
ui.common.notSpecifyName,Untitled
ui.common.notSpecifyTime,(no time set)
ui.common.notSpecifyTo,(no target yet)
ui.common.notSpecifyTo2,No target yet
ui.common.notUse,Not used yet
ui.common.novel,Novel
ui.common.ok,Succeeded
ui.common.ollamaItem,Ollama (local)
ui.common.open,Open
ui.common.openProject,Open project
ui.common.openProjectBefore,Open a project first
ui.common.openProjectBeforeSettings,Open a project first to set up AI
ui.common.openSceneBeforeInsertImage,Open a scene first to insert an image
ui.common.openView,Open/view
ui.common.other,Other
ui.common.outlineStory,Outline
ui.common.overviewPxChar,Overview 1px/character
ui.common.overviewPxChar2,Overview 4px/character
ui.common.overwrite,Overwrite
ui.common.overwritePrev,Overwrite the existing
ui.common.page,Page
ui.common.page2,Page 
ui.common.pageFirst,Home
ui.common.pageFlashforward,Flashforward
ui.common.pagePairSideBy,Side-by-side pages
ui.common.pickImageBefore,Choose an image first
ui.common.pin,Pin
ui.common.pinPin,Pin
ui.common.place,Location
ui.common.printDone,Published
ui.common.project,Project
ui.common.props,Properties
ui.common.provider,Provider
ui.common.pxDims,{0} × {1} px
ui.common.refresh,Refresh
ui.common.refresh2,Refresh
ui.common.removeRowTip,Remove this row
ui.common.renameNew,Rename
ui.common.renameVersionSkipEmpty,Version name (optional)
ui.common.repeat,⧉ Duplicate
ui.common.replaceBtn,Replace
ui.common.restart,Start over
ui.common.revertBtn,Revert
ui.common.right,Right
ui.common.right2,Align right
ui.common.route,Route
ui.common.rule,Rules:
ui.common.save,Save
ui.common.saveAll,Save all
ui.common.saveDone, Saved
ui.common.saveGlobalSettingsNot,Failed to save global settings
ui.common.saveSettingsAIDone,AI settings saved
ui.common.saveVersion,Save version
ui.common.scene, scenes
ui.common.scene2,Scene
ui.common.scene3,Scene: 
ui.common.scene3F,Scene: {0}    Characters: {1}
ui.common.sceneFind,Missing scene
ui.common.sceneGraph,Scenes on the chart
ui.common.sceneNotHasFile,This scene has no file yet
ui.common.screenplay,Screenplay
ui.common.scroll,Scroll up
ui.common.searchSceneFindOn, Find in scene
ui.common.settingsAI,AI settings
ui.common.shape,Shape
ui.common.showFolder,Show in folder
ui.common.showFolderImages,Show the Images folder
ui.common.sideProviderItemHTTP,The provider's side had a problem (HTTP 
ui.common.solid,Solid
ui.common.status,Status
ui.common.story,Story
ui.common.summary,Summary
ui.common.synopsis,Synopsis
ui.common.tag,Tags
ui.common.tag2,Tags (comma-separated)
ui.common.tag3,Tags: 
ui.common.taskCancelled,Cancelled — {0}
ui.common.text,Text
ui.common.thing,Items
ui.common.thingSee,What is seen
ui.common.timeStoryLineTime,Story time (timeline)
ui.common.title,Title
ui.common.toggle,⇄ Flip direction
ui.common.tokensN,{0} {0|token|tokens}
ui.common.trialPlay,Play-test
ui.common.type,Type
ui.common.undoBtn,Undo
ui.common.unlock,Unlock
ui.common.use,Used in: 
ui.common.version,Version
ui.common.view,View
ui.common.view2,View: 
ui.common.viewImageFull,View full image
ui.common.viewPage,View: {0} · {1} {1|page|pages}
ui.common.viewPOV,Point of view (POV)
ui.common.word, words
ui.common.word2,Words
ui.common.writeEnd,Finished
ui.compile.authorEmptyUseProject,Author (empty = use the project's)
ui.compile.chapter,- Chapter: {0}
ui.compile.codeHasItemText,"Code (has the variables text, model)"
ui.compile.coverTitleAuthorCount,Cover page (title / author / word count)
ui.compile.cutComment,Remove comments %%…%% and <!-- … -->
ui.compile.cutMarkdownText,Remove Markdown symbols (plain text)
ui.compile.cutNoteMemoOut,Remove notes (memos)
ui.compile.draftEditor,Draft for the editor
ui.compile.draftPersonRead,Draft for readers
ui.compile.drawFrameRoundNote,Draw a box around remaining notes (for the app's own PDF builder)
ui.compile.editItemNameWiki,Expand {{{{name}}}} variables from the Wiki
ui.compile.expandShortcode,Expand shortcodes [title] [chapter] [date]
ui.compile.formatUseNTitle,Format — {{n}} {{title}} can be used
ui.compile.headChapter,Chapter heading
ui.compile.hTML,Convert to HTML
ui.compile.insertTextContNot,Failed to insert continuation text: 
ui.compile.itemBetweenScene,Separator between scenes
ui.compile.javaScript,Custom JavaScript
ui.compile.linkNameText,Turn wiki links [[name]] into plain text
ui.compile.msg,<!-- page break -->
ui.compile.nameScene,Scene name
ui.compile.nextSummaryStats,Append a statistics summary
ui.compile.notSpecifyStatus,No status
ui.compile.onlySceneStatus,Only scenes with status…
ui.compile.pageBreakAllChapter,New page for every chapter
ui.compile.pageListCharacterCast,Cast of Characters page
ui.compile.putNumOrderPage,Number the scene titles
ui.compile.readyPrintHTMLPageBreak,"Print-ready (HTML, new page for every chapter)"
ui.compile.scene,- Scene: {0}
ui.compile.screenplayCONTINUEDMORE,Screenplay (CONTINUED · MORE)
ui.compile.screenplayInsertCONTINUEDMORE,Screenplay: insert (CONTINUED)/(MORE) at page breaks
ui.compile.screenplayNotMergeElement,Screenplay: leave out elements by type
ui.compile.screenplayPDFTocCover,Screenplay → PDF (table of contents · cover page)
ui.compile.skipStepJavaScriptClose,Skip the JavaScript step (turned off)
ui.compile.sourceMarkdown,Manuscript (Markdown)
ui.compile.status,Status (comma-separated)
ui.compile.statusCountWordScene,Attach each scene's status/word count (for the editor)
ui.compile.stepJavaScriptCantRestore,The JavaScript step didn't return text — skipped
ui.compile.stepJavaScriptError,JavaScript step error: 
ui.compile.summaryStats,## Statistics summary
ui.compile.text,Separator text
ui.compile.textTextDoneRestore,"// text = the assembled text · return the new text
return text;"
ui.compile.textTxt,Plain text (.txt)
ui.compile.timeReadMin,- Estimated reading time: {0} min
ui.compile.typeCutOut,Types to remove (comma-separated: 
ui.compile.useSynopsisReplaceBody,Use the synopsis instead of the scene text
ui.compile.webHTML,Web (HTML)
ui.compile.word,_[{0} · {1} {1|word|words}]_
ui.compile.wordAll,- Total words: {0}
ui.compile.wordChapterScene,{0} {0|word|words} · {1} {1|chapter|chapters} · {2} {2|scene|scenes}
ui.compile.workFlowNew,New workflow
ui.compile.writeDoneCheckDone,"Finished, Checked"
ui.core.notFoundLangUse2,"Language ""{{0}}"" not found — using English instead"
ui.core.notHasText2,(no text)
ui.core.resourceLoadNotOk2,resource: failed to load <
ui.dash.activity,Writing activity
ui.dash.actSummary,{0} {0|word|words} added · wrote on {1} of {2} {2|day|days} · best day {3}
ui.dash.avgWordChapterTime,Average {0} {0|word|words}/chapter · total reading time ~{1} min
ui.dash.entitiesFail,Could not read Wiki data — showing the rest of the dashboard
ui.dash.goalWord,Goal: {0} / {1} {1|word|words} ({2}%)
ui.dash.imageAlbumTagArea,{0} {0|image|images} · {1} {1|album|albums} · {2} {2|tag|tags} · total size {3}
ui.dash.kanbanStatus,Scene status (Kanban)
ui.dash.libraryImage,Image library
ui.dash.loadPartHubNot,Failed to load the hub section
ui.dash.longEachChapterWord,Length of each chapter (words)
ui.dash.milestoneHit,Reached {0} {0|word|words}
ui.dash.milestones,Milestones
ui.dash.msGoal,Goal
ui.dash.msLeft,{0} {0|word|words} to go
ui.dash.msStart,Project started
ui.dash.msWords,{0} {0|word|words}
ui.dash.nextStuck,Pick up where you left off
ui.dash.notSetStatus,No status yet
ui.dash.notStartWriteNext,Writing streak not started yet
ui.dash.openKanban,Open Kanban
ui.dash.openLibraryImage,Open the image library
ui.dash.pageStatusScene,Progress by scene status
ui.dash.projectStart,Project started {0}
ui.dash.rangeAll,All
ui.dash.readHint,Based on an average reading speed of {0} {0|word|words}/min
ui.dash.readHM,{0} h {1} min
ui.dash.readM,{0} min
ui.dash.readTime,Total reading time
ui.dash.saveTaskDoneGraph,Save your work for a couple of days and the daily word chart will appear here
ui.dash.scenePinPin,Pinned scenes ({0})
ui.dash.statBooks,Books
ui.dash.statChapters,Chapters
ui.dash.statScenes,Scenes
ui.dash.topWordHint,"""{0}"" — {1}× ({2} per 10k words)"
ui.dash.topWords,Most used words
ui.dash.topWordsNote,Out of {0} {0|word|words} · {1} unique · connectors and character names excluded
ui.dash.useSourceDone,Used in the manuscript
ui.dash.viewAllExport,View all / Export…
ui.dash.wikiCat,Wiki by category
ui.dash.wikiEntities,Wiki entities
ui.dash.word,{0}: +{1} {1|word|words}
ui.dash.wordAddNextLast,Words added per day · last {0} {0|day|days}
ui.dash.wordAll,Total words
ui.dash.writeNext,{0}-day writing streak
ui.data.cBlue,Blue
ui.data.cGreen,Green
ui.data.cOrange,Orange
ui.data.cPurple,Purple
ui.data.cRed,Red
ui.data.cYellow,Yellow
ui.data.plDoing,In progress
ui.data.plDraft,Draft
ui.data.plLive,In use
ui.data.plShelved,Shelved
ui.data.plSpare,Backup
ui.data.stArchived,Archived
ui.data.stChecked,Checked
ui.data.stDone,Done
ui.data.stFinished,Finished
ui.data.stOutline,Outline
ui.data.stPaused,On hold
ui.data.stWriting,Writing
ui.dialogs.cancel,Cancel
ui.dialogs.close,Close
ui.dialogs.copy,Copy
ui.dialogs.delete,Delete
ui.dialogs.edit,Edit
ui.dialogs.no,No
ui.dialogs.ok,OK
ui.dialogs.refresh,Refresh
ui.dialogs.reset,Reset
ui.dialogs.restore,Restore
ui.dialogs.save,Save
ui.dialogs.view,View
ui.dialogs.yes,Yes
ui.dialogue.allBooks,All books
ui.dialogue.allChapters,All chapters
ui.dialogue.allScenes,All scenes
ui.dialogue.allSources,All formats
ui.dialogue.chipHint,{0} {0|line|lines} · about {1} {1|word|words}
